CNPJ_Fundo;Data_Referencia;Versao;Total_Necessidades_Liquidez;Disponibilidades;Titulos_Publicos;Titulos_Privados;Fundos_Renda_Fixa;Total_Investido;Direitos_Bens_Imoveis;Terrenos;Imoveis_Renda_Acabados;Imoveis_Renda_Construcao;Imoveis_Venda_Acabados;Imoveis_Venda_Construcao;Outros_Direitos_Reais;Acoes;Debentures;Bonus_Subscricao;Certificados_Deposito_Valores_Mobiliarios;Cedulas_Debentures;Fundo_Acoes;FIP;FII;FDIC;Outras_Cotas_FI;Notas_Promissorias;Acoes_Sociedades_Atividades_FII;Cotas_Sociedades_Atividades_FII;CEPAC;CRI;CRI_CRA;Letras_Hipotecarias;LCI;LCI_LCA;LIG;Outros_Valores_Mobliarios;Valores_Receber;Contas_Receber_Aluguel;Contas_Receber_Venda_Imoveis;Outros_Valores_Receber;Rendimentos_Distribuir;Taxa_Administracao_Pagar;Taxa_Performance_Pagar;Obrigacoes_Aquisicao_Imoveis;Adiantamento_Venda_Imoveis;Adiantamento_Alugueis;Obrigacoes_Securitizacao_Recebiveis;Instrumentos_Financeiros_Derivativos;Provisoes_Contigencias;Outros_Valores_Pagar;Total_Passivo
00.332.266/0001-31;2024-01-01;1;10100284.67;655992.79;0;0;9444291.88;527941600;527941600;0;527941600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;6288159.55;5478912.25;0;809247.3;3119257.18;105112.97;0;0;0;650002.6;0;0;0;4123262.09;7997634.84
00.332.266/0001-31;2024-02-01;1;9972241.05;205473.32;0;0;9766767.73;527941600;527941600;0;527941600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;5247499.9;4425814.19;0;821685.71;2950443.44;105937.62;0;0;0;650002.6;0;0;0;4148900.35;7855284.01
00.332.266/0001-31;2024-03-01;1;8205910.12;2438104.05;0;0;5767806.07;527941600;527941600;0;527941600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;5690169.83;4658454.25;0;1031715.58;1998689.14;105937.62;0;0;0;650002.6;0;0;0;3575421.91;6330051.27
00.332.266/0001-31;2024-04-01;1;8034489.98;322678.85;0;0;7711811.13;527941600;527941600;0;527941600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;6056505.63;5118997.74;0;937507.89;1719332.27;105937.63;0;0;0;650002.6;0;0;0;3590331.67;6065604.17
00.332.266/0001-31;2024-05-01;1;9162986.41;1769620;0;0;7393366.41;527941600;527941600;0;527941600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;5983869.84;5024300.19;0;959569.65;1578840.09;105937.63;0;0;0;650002.6;0;0;0;3704538.48;6039318.8
00.332.266/0001-31;2024-06-01;1;8705978.95;736992.94;0;0;7968986.01;527941600;527941600;0;527941600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;6418147.79;5455605.8;0;962541.99;2195842.14;105937.62;0;0;0;650002.6;0;0;0;3753823.5;6705605.86
00.332.266/0001-31;2024-07-01;1;7247734.76;511202.63;0;0;6736532.13;527941600;527941600;0;527941600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;6886089.98;5928471.08;0;957618.9;935880.13;108533.38;0;0;0;650002.6;0;0;0;3829474.41;5523890.52
00.332.266/0001-31;2024-08-01;1;7234433.26;1520525.89;0;0;5713907.37;527941600;527941600;0;527941600;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;7359096.88;6400429.33;0;958667.55;1244287.83;108533.38;0;0;0;650002.6;0;0;0;3922686.18;5925509.99
00.332.266/0001-31;2024-09-01;1;7049259.06;338907.31;0;0;6710351.75;527941600;527941600;0;527941600;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;7908736.85;6864702.19;0;1044034.66;1188345.05;108533.38;0;0;0;650002.6;0;0;0;4576925.09;6523806.12
00.332.266/0001-31;2024-10-01;1;5580719.42;618887.47;0;0;4961831.95;528492303.85;528492303.85;0;528492303.85;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;6141867.57;5085018.61;0;1056848.96;40341.36;108533.38;0;0;0;650002.6;0;0;0;5395439.48;6194316.82
00.613.094/0001-74;2024-01-01;1;569584.13;569584.13;0;0;0;195896624.86;195896624.86;0;0;0;195896624.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;544892.4;0;544892.4;0;22379.3;0;0;0;0;0;0;0;0;213229180.33;213251559.63
00.613.094/0001-74;2024-02-01;1;569584.13;569584.13;0;0;0;195896624.86;195896624.86;0;0;0;195896624.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;537780.09;0;537780.09;0;22379.3;0;0;0;0;0;0;0;0;213605316.97;213627696.27
00.613.094/0001-74;2024-03-01;1;1107750.3;569584.13;0;0;538166.17;195896624.86;195896624.86;0;0;0;195896624.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;0;0;22379.3;0;0;0;0;0;0;0;0;213996299.59;214018678.89
00.613.094/0001-74;2024-04-01;1;569584.13;569584.13;0;0;0;195896624.86;195896624.86;0;0;0;195896624.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;538142.26;0;0;538142.26;22379.3;0;0;0;0;0;0;0;0;214426320.08;214448699.38
00.613.094/0001-74;2024-05-01;2;569584.13;569584.13;0;0;0;196435896.55;195896624.86;0;0;0;195896624.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;539271.69;0;0;0;0;22379.3;0;0;0;0;0;0;0;0;214833486.78;214855866.08
00.613.094/0001-74;2024-06-01;1;569584.13;569584.13;0;0;0;196441160.8;195896624.86;0;0;0;195896624.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;544535.94;0;0;0;0;22379.3;0;0;0;0;0;0;0;0;215200098.32;215222477.62
00.613.094/0001-74;2024-07-01;1;569584.13;569584.13;0;0;0;196441160.8;195896624.86;0;0;0;195896624.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;544535.94;0;0;0;0;22379.3;0;0;0;0;0;0;0;0;215200098.32;215222477.62
00.613.094/0001-74;2024-08-01;1;569584.13;569584.13;0;0;0;196451505.08;195896624.86;0;0;0;195896624.86;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;554880.22;0;0;0;0;22379.3;0;0;0;0;0;0;0;0;215560023.85;215582403.15
00.613.094/0001-74;2024-09-01;1;569584.13;569584.13;0;0;0;196451505.08;195896624.86;0;0;0;195896624.86;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;554880.22;0;0;0;0;22379.3;0;0;0;0;0;0;0;0;216319485.17;216341864.47
